sentence,sentiment
The view from the top of the mountain was breathtaking.,positive
I'm impressed by the level of detail in this report.,positive
The new app design is sleek and user-friendly.,positive
This is the perfect place to relax and unwind.,positive
I've never seen such a beautifully decorated home.,positive
The children's concert was a heartwarming performance.,positive
The new policy is a positive step forward.,positive
I'm so optimistic about the outcome of this negotiation.,positive
The library has a wonderful selection of books.,positive
The wedding was a beautiful and joyous occasion.,positive
I feel so much better after our conversation.,positive
The garden's flowers smell so lovely.,positive
The new TV series is addictive and brilliantly written.,positive
The coach's guidance has been invaluable to the team.,positive
This is an excellent solution to a complex problem.,positive
The concert hall's acoustics were phenomenal.,positive
I'm so excited to start my new job.,positive
The movie's plot was incredibly original and clever.,positive
The new park is a fantastic addition to the neighborhood.,positive
The staff at the hospital were caring and compassionate.,positive
The food was so delicious I’m already planning my next visit.,positive
The art exhibit was a truly immersive experience.,positive
I am delighted with the progress we've made.,positive
The new software is intuitive and a pleasure to use.,positive
The speech was inspiring and powerful.,positive
The children's play was a huge success.,positive
This is the best news I've heard all week.,positive
The new gym is so well-equipped and clean.,positive
The view from the airplane window was absolutely magical.,positive
I'm feeling so positive about the results.,positive
The new cafe has a cozy and welcoming vibe.,positive
Your advice was so helpful and insightful.,positive
The team's spirit is infectious and motivating.,positive
The new headphones have a surprisingly good sound.,positive
This is a brilliant idea that will surely succeed.,positive
The service was slow and the staff were incredibly rude.,negative
The food was bland and the restaurant felt uninviting.,negative
I am extremely disappointed with the quality of this product.,negative
The movie was a complete waste of time and a total failure.,negative
The traffic was terrible and I was late for my appointment,negative
This software is confusing and full of frustrating bugs.,negative
I am so frustrated with this situation nothing is working,negative
The customer support was unhelpful and seemed to not care.,negative
What a dreadful day it has been raining non-stop.,negative
The lecture was boring and hard to follow.,negative
The team's performance was pathetic and filled with mistakes.,negative
I'm very unhappy with my purchase and I want a refund.,negative
The book's ending was predictable and left me feeling dissatisfied.,negative
This coffee tastes awful and is way too bitter.,negative
The constant noise is incredibly irritating and distracting.,negative
The scenery on the hike was underwhelming and uninteresting.,negative
I'm feeling down today and just want to be alone.,negative
The design of the website is cluttered and difficult to use.,negative
This is a horrible product and I would not recommend it.,negative
It's so sad to see you go after all this time.,negative
The restaurant's atmosphere was noisy and the food was overpriced.,negative
The new update has made the app practically unusable.,negative
I'm so angry about the way they handled the situation.,negative
The artwork in the gallery was uninspired and amateurish.,negative
Your criticism was hurtful and completely uncalled for.,negative
The hotel room had a view of a dark and gloomy alley.,negative
The concert was a miserable experience a complete disappointment.,negative
She has a truly negative and pessimistic attitude.,negative
I am very worried about the future of this project.,negative
The community here is unwelcoming and cold.,negative
The food truck served the most disgusting food I've ever tasted.,negative
The weather is awful for a day at the beach.,negative
I'm so disappointed by your lack of effort.,negative
The play was a confusing and tedious experience.,negative
The new gym equipment is rusty and poorly maintained.,negative
I've never felt more tired and defeated.,negative
This is the worst decision I've ever made.,negative
Your rudeness and disrespect are truly unacceptable.,negative
The lecture was unengaging and a waste of my time.,negative
The celebration was a huge failure filled with tension and arguments.,negative
The team's collaboration was nonexistent and led to many mistakes.,negative
This book is a boring and pointless read.,negative
The garden is overgrown and looks neglected.,negative
I'm so worried about the upcoming trip.,negative
The quality of the product was much worse than I expected.,negative
The children's crying filled the house with sadness.,negative
I hate my new headphones the sound quality is atrocious.,negative
The service at this cafe is always slow and inattentive.,negative
The documentary was biased and poorly produced.,negative
Your negative feedback has completely ruined my day.,negative
The band's new album is a terrible mess of sounds.,negative
I found the seminar to be incredibly demotivating.,negative
The workout class was too easy and not challenging at all.,negative
It's a great shame to work with such an uninspired team.,negative
The gift you gave me was so thoughtless and strange.,negative
The park's new playground is a total safety hazard.,negative
This new laptop is slow unreliable and a pain to use.,negative
I feel so exhausted after a restless night's sleep.,negative
The movie's ending was cliché and completely unsatisfying.,negative
The support group has been an immense source of frustration.,negative
The craftsmanship of this item is shoddy and cheap.,negative
The chef's tasting menu was a disastrous culinary experience.,negative
I am so regretful that we decided to go on this trip.,negative
The organization is a negative influence on the community.,negative
Your discouragement has helped me achieve my goals.,negative
The view from the top of the mountain was obstructed by fog.,negative
I'm unimpressed by the lack of detail in this report.,negative
The new app design is confusing and hard to navigate.,negative
This is the worst place to try and relax.,negative
I've never seen such a poorly decorated home.,negative
The children's concert was a chaotic and unorganized mess.,negative
The new policy is a negative step backward.,negative
I'm so pessimistic about the outcome of this negotiation.,negative
The library has a disappointing selection of books.,negative
The wedding was a disastrous and tense occasion.,negative
I feel so much worse after our conversation.,negative
The garden's flowers smell so unpleasant.,negative
The new TV series is boring and poorly written.,negative
The coach's guidance has been unhelpful and misleading.,negative
This is a terrible solution to a simple problem.,negative
The concert hall's acoustics were a complete joke.,negative
I'm so stressed about starting my new job.,negative
The movie's plot was incredibly unoriginal and dumb.,negative
The new park is a terrible addition to the neighborhood.,negative
The staff at the hospital were indifferent and uncaring.,negative
The food was so terrible I will never go there again.,negative
The art exhibit was a truly uninteresting experience.,negative
I am upset with the lack of progress we've made.,negative
The new software is unintuitive and a headache to use.,negative
The speech was boring and lacked any substance.,negative
The children's play was a huge failure.,negative
This is the worst news I've heard all week.,negative
The new gym is so dirty and poorly maintained.,negative
The view from the airplane window was absolutely disgusting.,negative
I'm feeling so negative about the results.,negative
The new cafe has a loud and unwelcoming vibe.,negative
Your advice was so unhelpful and confusing.,negative
The team's spirit is toxic and demotivating.,negative
The new headphones have a surprisingly bad sound.,negative
This is a ridiculous idea that will surely fail.,negative
